Webmapper code,Webmapper numeric code,ccode,country name,start year,end year,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
cshapes/1499,1499,100,Bulgaria,1946,2012,,,,,1651,1989,1893,2085,2025,2148,2128,2330,2508,2684,2912,3072,3295,3418,3657,3850,4125,4320,4368,4546,4773,4902,5110,5284,5414,5831,5982,5896,6019,6245,6044,6186,6370,6237,6430,6226,6380,6382,6335,6216,5596.900393,5197.861011,4884.37156,4935.733433,5078.239363,5285.328756,4844.28191,4628.009214,4870.395157,5137.232793,5483.308819,5770.035744,6098.74181,6496.743714,7000.113062,7512.794701,8072.313235,8666.200091,9278.931469,8841.375548,8945.50966
cshapes/1566,1566,96,Brunei,1984,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1621,1621,148,Chad,1973,2012,,,,,476,486,497,507,518,529,540,552,563,574,569,566,586,567,542,533,512,505,492,514,513,512,467,435,484,555,535,485,472,362,341,345,347,382,385,466,434,410,459,472,434.3128741,464.6226474,457.9185371,441.5111165,457.3101513,440.6408215,436.1083534,441.2182084,461.4057674,458.0513321,448.9671301,479.1300299,510.5383435,564.8464281,725.4616712,757.5001665,739.5619526,723.2697945,705.742475,,
cshapes/1494,1494,678,Sao Tome and Principe,1975,2012,,,,,820,818,817,817,850,764,806,799,875,784,867,933,995,1055,1112,1165,1233,1286,1337,1389,1440,1483,1423,1355,1356,1421,1497,1613,1667,1808,2009,1421,1755,1568,1406,1487,1471,1409,1401,1392,1390.739019,1355.068855,1327.282409,1306.562966,1299.930871,1284.296556,1267.552773,1243.12333,1231.805894,1226.04375,1225.398254,1235.44267,1255.235034,1295.285275,1331.623866,1364.576448,1409.876365,1446.251007,1484.154468,,
cshapes/1423,1423,320,Guatemala,1946,2012,2002,1975,1988,2111,2085,2047,2024,2032,2004,1989,2100,2148,2177,2211,2193,2216,2223,2360,2393,2447,2530,2581,2751,2821,2919,3012,3160,3297,3426,3412,3579,3767,3862,3951,4005,3925,3703,3504,3431,3320,3222,3198,3191,3227,3240.017845,3268.251334,3370.110648,3445.191613,3490.230684,3572.111779,3591.733327,3666.987086,3773.891834,3848.859636,3922.432566,3942.992013,4016.325374,4041.22025,4093.621918,4142.907095,4270.370932,4442.08033,4491.117717,4422.395418,4453.58391
cshapes/1508,1508,682,Saudi Arabia,2000,2012,,,,,2231,2374,2470,2664,2912,2922,3075,3119,3204,3458,3719,4066,4445,4715,5005,5469,6102,6463,6848,7170,7624,8475,9497,11040,12333,11787,12106,13064,12919,12843,13217,13421,12883,10863,10253,9048,8091,8105,8027,8004,8993.223235,9664.533475,9664.351802,9351.433629,9120.860303,8869.929896,8914.209863,8903.021841,8925.396562,8647.838729,8861.15832,8711.743253,8535.699406,9000.026382,9287.41847,9619.825727,9745.92036,9769.899978,10011.94667,9858.681812,10201.12639
cshapes/1412,1412,780,Trinidad and Tobago,1962,2012,,,,,3674,3894,3941,3954,3914,4316,5059,5344,5609,5743,6251,6371,6514,6718,6801,7030,7234,7327,7684,7897,8244,8272,8628,8685,9053,9118,9847,10296,11319,11649,12380,12734,11776,10654,11092,10459,9957,9366,8907,8764,8852.589641,9126.190476,8996.835443,8882.213439,9255.335968,9642.405063,10024.56418,10351.5873,10865.65978,11631.87251,12219.64856,12768.61489,13209.47031,15160.22544,16412.42938,17327.40501,19854.25101,20801.29765,21314.37855,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1640,1640,800,Uganda,1962,2012,,,,,687,642,664,675,648,672,690,700,685,700,713,686,694,751,785,779,803,822,818,881,867,869,856,835,817,780,765,757,697,606,572,579,610,636,563,556,538,550,566,583,584.6780662,575.0338931,570.7044006,595.2915093,610.7830138,660.7195438,700.9720167,717.4581252,722.2842144,755.5390455,771.3977917,800.2232398,834.0989196,860.9700327,887.6379793,933.0633461,988.996604,1040.120687,1086.710042,1127.333869,1158.379138
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1472,1472,231,Ethiopia,1993,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1417,1417,600,Paraguay,1946,2012,1815,1542,1524,1740,1584,1573,1506,1509,1495,1523,1547,1578,1625,1581,1555,1588,1657,1659,1687,1739,1712,1774,1789,1810,1872,1902,1946,2038,2143,2219,2313,2504,2717,2952,3301,3494,3281,3093,3100,3131,3038,3079,3185,3276,3281,3268,3230,3266,3270,3325,3276,3271,3172,3103,3011,2994,2916,2951,2996,3007,3060,3190,3295,,
