"","country","year","gdp","growth"
"343","France",2005,24700,0.0421940928270041
"344","Croatia",2005,13200,0.056
"345","Italy",2005,23600,0.0216450216450217
"346","Cyprus",2005,20800,0.0612244897959184
"347","Latvia",2005,11100,0.0990099009900991
"348","Lithuania",2005,12300,0.108108108108108
"349","Luxembourg",2005,57000,0.0458715596330275
"350","Hungary",2005,14200,0.0441176470588236
"351","Malta",2005,18000,0.0465116279069768
"352","Netherlands",2005,29300,0.0501792114695341
"353","Austria",2005,28100,0.0181159420289856
"354","Poland",2005,11500,0.0550458715596329
"355","Portugal",2005,17900,0.0718562874251496
"356","Romania",2005,8000,0.0666666666666667
"357","Slovenia",2005,19600,0.0481283422459893
"358","Slovakia",2005,13500,0.0975609756097562
"359","Finland",2005,25700,0.0239043824701195
"360","Sweden",2005,27300,0
"361","United Kingdom",2005,27800,0.033457249070632
"362","Iceland",2005,29200,0.028169014084507
"363","Liechtenstein",2005,NA,NA
"364","Norway",2005,39800,0.11484593837535
"365","Switzerland",2005,30600,0.0234113712374582
"366","Former Yugoslav Republic of Macedonia",2005,6600,0.11864406779661
"367","Serbia",2005,7100,NA
"368","Turkey",2005,9500,0.117647058823529
"369","United States",2005,37000,0.0511363636363635
"370","Japan",2005,25400,0.0283400809716599
"371","Belgium",2006,27800,0.033457249070632
"372","Bulgaria",2006,9000,0.0975609756097562
"373","Czech Republic",2006,18900,0.0617977528089888
"374","Denmark",2006,29300,0.0577617328519855
"375","Germany",2006,27300,0.05
"376","Estonia",2006,15600,0.130434782608696
"377","Ireland",2006,34400,0.0617283950617284
"378","Greece",2006,21800,0.0686274509803921
"379","Spain",2006,24800,0.0829694323144106
"380","France",2006,25500,0.0323886639676114
"381","Croatia",2006,14100,0.0681818181818181
"382","Italy",2006,24700,0.0466101694915255
"383","Cyprus",2006,22000,0.0576923076923077
"384","Latvia",2006,12500,0.126126126126126
"385","Lithuania",2006,13600,0.105691056910569
"386","Luxembourg",2006,63800,0.119298245614035
"387","Hungary",2006,14900,0.0492957746478873
"388","Malta",2006,18600,0.0333333333333334
"389","Netherlands",2006,31000,0.0580204778156996
"390","Austria",2006,29700,0.0569395017793595
"391","Poland",2006,12300,0.0695652173913044
"392","Portugal",2006,18700,0.0446927374301676
"393","Romania",2006,9200,0.15
"394","Slovenia",2006,20700,0.0561224489795917
"395","Slovakia",2006,14900,0.103703703703704
"396","Finland",2006,26900,0.0466926070038911
"397","Sweden",2006,29000,0.0622710622710623
"398","United Kingdom",2006,28900,0.039568345323741
"399","Iceland",2006,29100,-0.00342465753424659
"400","Liechtenstein",2006,NA,NA
"401","Norway",2006,43800,0.100502512562814
"402","Switzerland",2006,32900,0.0751633986928104
"403","Former Yugoslav Republic of Macedonia",2006,7100,0.0757575757575757
"404","Serbia",2006,7700,0.0845070422535212
"405","Turkey",2006,10500,0.105263157894737
"406","United States",2006,37700,0.0189189189189189
"407","Japan",2006,25800,0.015748031496063
"408","Belgium",2007,28900,0.039568345323741
"409","Bulgaria",2007,10000,0.111111111111111
"410","Czech Republic",2007,20600,0.08994708994709
"411","Denmark",2007,30600,0.0443686006825939
"412","Germany",2007,28800,0.054945054945055
"413","Estonia",2007,17500,0.121794871794872
"414","Ireland",2007,36500,0.0610465116279071
"415","Greece",2007,22600,0.036697247706422
"416","Spain",2007,26200,0.0564516129032258
"417","France",2007,26900,0.0549019607843138
"418","Croatia",2007,15600,0.106382978723404
"419","Italy",2007,26000,0.0526315789473684
"420","Cyprus",2007,23500,0.0681818181818181
"421","Latvia",2007,14300,0.144
"422","Lithuania",2007,15500,0.139705882352941
"423","Luxembourg",2007,68400,0.0721003134796239
"424","Hungary",2007,15300,0.0268456375838926
"425","Malta",2007,19600,0.053763440860215
"426","Netherlands",2007,33000,0.064516129032258
"427","Austria",2007,30900,0.0404040404040404
"428","Poland",2007,13600,0.105691056910569
"429","Portugal",2007,19600,0.0481283422459893
"430","Romania",2007,10700,0.16304347826087
"431","Slovenia",2007,22100,0.067632850241546
"432","Slovakia",2007,16900,0.134228187919463
"433","Finland",2007,29300,0.0892193308550187
"434","Sweden",2007,31200,0.0758620689655172
"435","United Kingdom",2007,29400,0.0173010380622838
"436","Iceland",2007,30100,0.034364261168385
"437","Liechtenstein",2007,NA,NA
"438","Norway",2007,45300,0.0342465753424657
"439","Switzerland",2007,35900,0.0911854103343466
"440","Former Yugoslav Republic of Macedonia",2007,7700,0.0845070422535212
"441","Serbia",2007,8200,0.0649350649350648
"442","Turkey",2007,11300,0.0761904761904761
"443","United States",2007,38900,0.0318302387267904
"444","Japan",2007,27100,0.0503875968992249
"445","Belgium",2008,28900,0
